questions,lang
Din ce țară izvorăște Nilul?,ro
Give me all federal chancellors of Germany.,en
Gib mir alle Bundeskanzler.,de
Dame todos los cancilleres alemanos.,es
Dammi tutti i cancellieri tedeschi.,it
Donnes-moi tous les chancelièrs allemands.,fr
Noem alle Duitse bondskanseliers.,nl
Dă-mi toți cancelarii federali ai Germaniei,ro
Which states of Germany are governed by the Social Democratic Party?,en
Welche Bundesländer in Deutschland werden von der SPD regiert?,de
¿En qué estados federales de Alemania gobierna la SPD?,es
In quali stati federati della Germania governa il Partito Socialista Democratico?,it
Quels sont les états d'Allemagne gouvernés par le parti social-démocrate d'Allemagne?,fr
In welke Duitse deelstaten is de SPD aan de macht?,nl
Ce state germane sunt guvernate de Partidul Social Democrat?,ro
Which river does the Brooklyn Bridge cross?,en
Welchen Fluss überspannt die Brooklyn Bridge?,de
¿Por qué río cruza la Brooklyn Bridge?,es
Quale fiume attraversa il ponte di Brooklyn?,it
Quelle cours d'eau est traversé par le pont de Brooklyn?,fr
Welke rivier overspant de Brooklyn Bridge?,nl
Ce râu traversează podul din Brooklyn?,ro
How tall is Claudia Schiffer?,en
Wie groß ist Claudia Schiffer?,de
¿Cómo de alta es Claudia Schiffer?,es
Quanto è alta Claudia Schiffer?,it
Quelle est la taille de Claudia Schiffer?,fr
Hoe lang is Claudia Schiffer?,nl
Ce înălțime are Claudia Schiffer?,ro
Which television shows were created by Walt Disney?,en
Welche Fernsehserien hat Walt Disney entworfen?,de
¿Qué series televisivas ideó Walt Disney?,es
Quali serie televisive sono state create dalla Walt Disney?,it
Quelles séries télevisées ont été créées par Walt Disney?,fr
Welke televisieseries werden bedacht door Walt Disney?,nl
Ce seriale de televiziune au fost create de Walt Disney?,ro
Give me the websites of companies with more than 500000 employees.,en
Gib mir alle Webseiten von Unternehmen mit mehr als 500000 Angestellten.,de
Dame todas las páginas de Web de empresas con más de 500000 empleados.,es
Dammi tutti i siti internet di aziende con più di 500000 dipendenti.,it
Donnes-moi les sites webs de companies avec plus de 500000 employés.,fr
Geef me de websites van alle ondernemingen met meer dan 500000 werknemers.,nl
Dă-mi toate website-urile de la companiile cu mai mult de 500000 de angajați,ro
Give me all cities in New Jersey with more than 100000 inhabitants.,en
"Gib mir alle Städte in New Jersey, die mehr als 100000 Einwohner haben.",de
Dame todas las cuidades en New Jersey que tengan más de 100000 habitantes.,es
Dammi tutte le città del New Jersey con più di 100000 abitanti.,it
Donnes-moi toutes les villes du New Jersey avec plus de 100000 habitants.,fr
Geef alle steden in New Jersey met meer dan 100000 inwoners.,nl
Dă-mi toate orașele din New Jersey cu mai mult de 100000 de locuitori.,ro
Which actors were born in Germany?,en
Welche Schauspieler wurden in Deutschland geboren?,de
¿Qué actores nacieron en Alemania?,es
Quali attori sono nati in Germania?,it
Quels acteurs sont nés en Allemagne?,fr
Welke acteurs zijn geboren in Duitsland?,nl
Ce actori au fost născuți în Germania?,ro
Which countries have more than two official languages?,en
Welche Länder haben mehr als zwei Amtssprachen?,de
¿Qué países tienes más de dos lenguas oficiales?,es
Quali stati hanno più di due lingue ufficiali?,it
Quels pays ont plus de deux langues officielles?,fr
Welke landen hebben meer dan twee officiële talen?,nl
Ce țări au mai mult de două limbi oficiale?,ro
In which U.S. state is Mount McKinley located?,en
In welchem US-Bundesstaat befindet sich der Mount McKinley?,de
¿En qué estado de los estados unidos se encuentra el monte McKinley?,es
In quale stato degli Stati Uniti si trova il Monte McKinley?,it
Dans quel état des Etats-Unis d'Amérique se trouve le mont McKinley?,fr
In welke deelstaat van de Verenigde Staten is Mount McKinley gelegen?,nl
În ce stat american se află muntele McKinley?,ro
When was the Statue of Liberty built?,en
Wann wurde die Freiheitsstatue erbaut?,de
¿Cuándo fue construída la estatua de la libertad?,es
Quando è stata costruita la Statua della Libertà?,it
Quand a-t-été construit la statue de la liberté?,fr
Wanneer werd het Vrijheidsbeeld gebouwd?,nl
Când a fost construită Statuia Libertății?,ro
Give me all people that were born in Vienna and died in Berlin.,en
"Gib mir alle Personen, die in Wien geboren wurden und in Berlin gestorben sind.",de
Dame todas las personas que hayan nacido en Viena y hayan muerto en Berlin.,es
Dammi tutte le persone che sono nate a Vienna e morte a Berlino.,it
Donne-moi toutes les personnes qui sont nées à Vienne et mortes à Berlin.,fr
Noem alle personen die geboren zijn in Wenen en gestorven zijn in Berlijn.,nl
Dă-mi toți oamenii care s-au născut în Viena și au murit în Berlin.,ro
Give me all movies with Tom Cruise.,en
Gib mir alle Filme mit Tom Cruise.,de
Dame todas las películas con Tom Cruise,es
Dammi tutti i film con Tom Cruise.,it
Donnes-moi tous les films avec Tom Cruise.,fr
Noem alle films met Tom Cruise.,nl
Dă-mi toate filmele cu Tom Cruise.,ro
How tall is Michael Jordan?,en
Wie groß ist Michael Jordan?,de
¿Qué altura tiene Michael Jordan?,es
Quanto è alto Michael Jordan?,it
Quelle est la taille de Michael Jordan?,fr
Hoe lang is Michael Jordan?,nl
Ce înățime are Michael Jordan?,ro
What is the total amount of men and women serving in the FDNY?,en
Wieviele Männer und Frauen arbeiten in der New Yorker Berufsfeuerwehr?,de
¿Cúantos hombres y mujeres trabajan para los bomberos de Nueva York?,es
Qual è il totale di uomini e donne che prestano servizio nel dipartimento dei vigili del fuoco di New York?,it
Combien d'hommes et femmes sont membres du corps des sapeurs-pompiers professionnels de New York?,fr
Wat is het totale aantal vrouwen en mannen dat werkt bij de brandweer van New York?,nl
Care este numărul total de bărbați și femei membri ai Departamentului de Pompieri din New York?,ro
Give me all breeds of the German Shepherd dog.,en
Gib mir alle Schäferhundrassen.,de
Dame todas las razas de pastor alemán.,es
Dammi tutte le razze del pastore tedesco.,it
Donnes-moi toutes les races de bergers allemands.,fr
Noem alle soorten Duitse herders.,nl
Dă-mi toate rasele câinelui Ciobănesc German.,ro
How often was Michael Jordan divorced?,en
Wie oft hat sich Michael Jordan scheiden lassen?,de
¿Cuántas veces se ha divorciado Michael Jordan?,es
Quante volte ha divorziato Michael Jordan?,it
Combien de fois a divorcé Michael Jordan?,fr
Hoe vaak is Michael Jackson gescheiden?,nl
De câte ori a divorțat Michael Jordan?,ro
What is the official language of Suriname?,en
Was ist die Amtssprache Von Surinam?,de
¿Cuál es la idioma oficial de Surinam?,es
Qual è la lingua ufficiale del Suriname?,it
Quelle est la langue officielle du Suriname?,fr
Wat is de officiële taal van Suriname?,nl
Care este limba oficială din Suriname?,ro
Who composed the music for Harold and Maude?,en
Wer hat die Musik für Harold und Maude komponiert?,de
¿Quién compuso la música para Harold y Maude?,es
Chi ha composto la musica per Harold e Maude?,it
Qui a composé la musique de Harold et Maude?,fr
Wie componeerde de muziek voor Harold and Maude,nl
Cine a compus coloana sonoră pentru Harold și Maude?,ro
In which city was the former Dutch queen Juliana buried?,en
In welcher Stadt wurde die ehemalige niederländische Königin Juliana beerdigt?,de
¿En qué ciudad fué enterrada la antigua reina de los países bajos Juliana?,es
In quale città fu sepolta la precedente regina dei Paesi Bassi Juliana?,it
Dans quelle ville a-t-été enterré la reine néerlandaise Juliana?,fr
In welke stad is de voormalige Nederlandse koningin Juliana bijgezet?,nl
"În ce oraș a fost înmormântată fosta regină a Olandei, Juliana?",ro
Who wrote the book The Pillars of the Earth?,en
Wer schrieb das Buch Die Säulen der Erde?,de
¿Quen escribió el libro Los pilares de la Tierra?,es
Chi ha scritto il libro I pilastri della Terra?,it
Qui a écrit le livre Les Piliers de la Terre?,fr
Wie schreef het boek De Pilaren van de Aarde?,nl
Cine e scris cartea Stâlpii Pământului?,ro
What are the nicknames of San Francisco?,en
Was sind die Spitznamen von San Francisco?,de
¿Cuál es el apodo de San Francisco?,es
Quali sono i soprannomi di San Francisco?,it
Quels sont les surnoms de San Francisco?,fr
Wat zijn bijnamen van San Francisco?,nl
Care sunt poreclele pentru San Francisco?,ro
Which companies work in the aerospace industry as well as in medicine?,en
Welche Unternehmen sind sowohl in der Luft- und Raumfahrt als auch im Bereich der Medizin tätig?,de
¿Qué empresas aerospaciales trabajar también en en medicina?,es
Quali aziende si occupano sia nell'industria aerospaziale che in ambito medico?,it
Quelles companies travaillent dans l'aérospatial et dans la médecine?,fr
Welke bedrijven zijn zowel actief in de ruimtevaartindustrie als in de geneeskunde?,nl
"Ce companii lucrează în industria aerospațială, precum și în medicină?",ro
Which languages are spoken in Estonia?,en
Welche Sprachen werden in Estland gesprochen?,de
¿Qué idiomas se hablan en Estonia?,es
Quali lingue sono parlate in Estonia?,it
Quelles langues parle-t-on en Estonie?,fr
Welke talen worden gesproken in Estland?,nl
Ce limbi sunt vorbite în Estonia?,ro
Are tree frogs a type of amphibian?,en
Sind Laubfrösche Amphibien?,de
¿Son las ranas verdes un tipo de anfibio?,es
Le rane verdi sono un tipo di anfibio?,it
Sont les grenouilles arboricoles un type d'amphibiens?,fr
Zijn boomkikkers een soort amfibie?,nl
Sunt broaștele de copac un tip de amfibieni?,ro
What were the main discoveries of the Mars rover Curiosity?,en
Was waren die wichtigsten Entdeckungen des Marsrovers Curiosity?,de
¿Cuáles fueron los principales descubrimientos de Mars rover Curiosity?,es
Quali sono state le scoperte piu' importanti del Mars rover Curiosity?,it
Quelles sont les découvertes les plus importantes du Mars Rover Curiosity?,fr
Wat zijn de meest belangrijke ontdekkingen van de Mars rover Curiosity?,nl
Care au fost descoperirile principale ale Mars rover Curiosity?,ro
When did Latvia join the EU?,en
Wann ist Lettland der EU beigetreten?,de
¿Cuándo ingresó Letonia a la unión europea?,es
Quando la Lettonia è entrata nell'Unione Europea?,it
Quand est la Lettonie devenue membre de l'Union européene?,fr
Wanneer trad Letland toe tot de EU?,nl
Când a aderat Letonia la Uniunea Europeană?,ro
Where is the residence of the prime minister of Spain?,en
Wo wohnt der Premierminister von Spanien?,de
¿Dónde vive el primer ministor de España?,es
Dove vive il primo ministro della Spagna?,it
Où se trouve la résidence du Premier Ministre d'Espagne?,fr
Waar woont de premier van Spanje?,nl
Unde este reședința primului ministru al Spaniei?,ro
Which countries have more than ten caves?,en
In welchen Ländern gibt es mehr als zehn Höhlen?,de
¿Qué países tienen más de diez cuevas?,es
Quali nazioni hanno più di dieci grotte?,it
Quels pays ont plus de dix grottes?,fr
Welke landen hebben meer dan tien grotten?,nl
Ce țări au mai mult de zece peșteri?,ro
Give me all animal species that live in the Teutoburg Forest.,en
"Gib mir alle Tierarten, die im Teutoburger Wald leben.",de
Dame todas las especies animales qué vivan en el Bosque Teutónico.,es
Dammi tutte le specie animali che vivono nella Foresta di Teutoburgo.,it
Donnes-moi toutes les espèces animales qui vivent dans la forêt de Teutberg.,fr
Noem alle diersoorten die leven in het Teutoburgerwoud.,nl
Dă-mi toate speciile de animale care trăiesc în pădurea Teutoburg,ro
Who created Goofy?,en
Wer hat Goofy erfunden?,de
¿Quién es el creador de Goofy?,es
Chi è il creatore di Pippo?,it
Qui est le créateur de Goofy?,fr
Wie bedacht Goofy?,nl
Cine l-a creat pe Goofy?,ro
Give me all sister cities of Brno.,en
Gib mir alle Partnerstädte von Brno.,de
Dame las ciudades hermanadas con Brno.,es
Dammi tutte le città gemellate con Brno.,it
Quels sont les villes jumelles de Brno?,fr
Geef alle zustersteden van Brno.,nl
Dă-mi toate orașele înfrățite cu Brno.,ro
Give me all soccer clubs in Spain.,en
Gib mir alle Fußballvereine in Spanien.,de
Dame todos los club de fútbol de España.,es
Dammi tutti i club calcistici della Spagna,it
Donnes-moi tous les clubs de football d'Espagne.,fr
Noem alle Spaanse voetbalclubs.,nl
Dă-mi toate cluburile de fotbal din Spania,ro
Which other weapons did the designer of the Uzi develop?,en
Welche anderen Waffen hat der Erfinder der Uzi entwickelt?,de
¿Qué otras armas desarrolló el inventor del Uzi?,es
Quali altre armi sono state progettate dall'inventore dell'Uzi?,it
Quels autres armes ont été developées par l'inventeur de l'Uzi?,fr
Welke andere wapens heeft de uitvinder van de Uzi ontwikkeld?,nl
Ce alte arme a realizat proiectantul Uzi?,ro
Which caves have more than 3 entrances?,en
Welche Höhlen haben mehr als 3 Eingänge?,de
¿Qué cuevas tienen más de 3 entradas?,es
Quali grotte hanno più di 3 entrate?,it
Quelles grottes ont plus de 3 entrées?,fr
Welke grotten hebben meer dan drie ingangen?,nl
Ce peșteri au mai mult de 3 intrări?,ro
Which countries adopted the Euro?,en
Welche Länder haben den Euro übernommen?,de
¿Qué países han introducido el Euro?,es
Quali stati hanno introdotto l'Euro?,it
Quels pays ont adopté l'Euro?,fr
Welke landen hebben de Euro geïntroduceerd?,nl
În ce țări a fost introdus euro?,ro
Which country does the creator of Miffy come from?,en
Aus welchem Land kommt der Erfinder von Nijntje?,de
¿De qué país viene el creador de Nijntje?,es
Da quale stato proviene il creatore di Miffy?,it
De quel pays vient le créateur de Miffy?,fr
Uit welk land komt de bedenker van Nijntje?,nl
Din ce țara provine creatorul Miffy?,ro
Give me all female given names.,en
Gib mir alle weiblichen Vornamen.,de
Dame todos los nombres propios femeninos.,es
Dammi tutti i nomi propri femminili.,it
Donnes-moi tous les prénoms féminins.,fr
Geef me alle vrouwelijke voornaamen.,nl
Dă-mi toate prenumele feminine.,ro
Was Margaret Thatcher a chemist?,en
War Margaret Thatcher Chemikerin?,de
¿Fue Margaret Thatcher química?,es
Margaret Thatcher era un chimico?,it
Margaret Thatcher était-elle une chimiste?,fr
Was Margaret Thatcher een chemicus?,nl
A fost Margaret Thatcher un chimist?,ro
Which German cities have more than 250000 inhabitants?,en
Welche deutschen Städte haben mehr als 250000 Einwohner?,de
¿Qué ciudades alemanas tienen más de 250000 habitantes?,es
Quali città tedesche hanno più di 250000 abitanti?,it
Quelles villes allemandes ont plus de 250000 habitants?,fr
Welke Duitse steden hebben meer dan 250000 inwoners?,nl
Ce orașe germane au mai mult de 250000 de locuitori?,ro
Was Marc Chagall a jew?,en
War Marc Chagall ein Jude?,de
¿Fué Marc Chagall judío?,es
Marc Chagall era ebreo?,it
Etait Marc Chagall juif?,fr
Was Marc Chagall joods?,nl
A fost Marc Chagall un evreu?,ro
Which presidents were born in 1945?,en
Welche Präsidenten wurden 1945 geboren?,de
¿Qué presidentes nacieron en 1945?,es
Quali presidenti sono nati nel 1945?,it
Quels présidents sont nés en 1945?,fr
Welke presidenten werden geboren in 1945?,nl
Ce președinți au fost născuți în 1945,ro
How many Aldi stores are there?,en
Wieviele Aldi-Filialen gibt es?,de
¿Cuántas tiendas Aldi hay?,es
Quanti negozi Aldi ci sono?,it
Combien de magasins Aldi sont là?,fr
Hoeveel Aldi winkels zijn er?,nl
Câte magazine Aldi există?,ro
Was U.S. president Jackson involved in a war?,en
War US-Präsident Jackson in einen Krieg verwickelt?,de
¿Estuvo el el presidente de los estados unidos Jackson involucrado en una guerra?,es
Il presidente degli Stati Uniti Jackson è stato coinvolto in una guerra?,it
Le président Jackson a-t-il participé à une guerre?,fr
Was president Jackson van de Verenigde Staten betrokken bij een oorlog?,nl
A fost președintele american Jackson implicat într-un război?,ro
What is the capital of Canada?,en
Was ist die Hauptstadt von Kanada?,de
¿Cuál es la capital de Canadá?,es
Qual è la capitale del Canada?,it
Quelle est la capitale du Canada?,fr
Wat is de hoofdstad van Canada?,nl
Care este capitala Canadei?,ro
What is the average temperature on Hawaii?,en
Was ist die Durchschnittstemperatur auf Hawaii?,de
¿Cuál es la temperature media en Hawaii?,es
Qual è la temperatura media nelle Hawaii?,it
Quelle est la température moyenne à Hawaii?,fr
Wat is de gemiddelde temperatuur op Hawaii?,nl
Care este temperatura medie în Hawaii?,ro
In which U.S. state is Fort Knox located?,en
In welchem US-Bundesstaat liegt Fort Knox?,de
¿En qué estado american se encuentra Fort Knox?,es
In quale stato americano si trova Fort Knox?,it
Dans quel état américain se trouve Fort Knox?,fr
In welke staat van de Verenigde Staten ligt Fort Knox?,nl
În ce stat american este situat Fort Knox?,ro
Which museum exhibits The Scream by Munch?,en
In welchem Museum ist Der Schrei von Munch ausgestellt?,de
¿En qué museo está expuesto el Grito de Munch?,es
In quale museo è esposto l'Urlo di Munch?,it
Dans quel musée est exposé Le Cri de Munch?,fr
In welk museum hangt De Schreeuw van Munch?,nl
În ce muzeu este expus “Strigătul” lui Munch?,ro
For which label did Elvis record his first album?,en
Welche Plattenfirma hat Elvis' erstes Album aufgenommen?,de
¿Qué discográfica grabó el primer album de Elvis?,es
Quale casa discografica ha inciso il primo album di Elvis?,it
Quel est le label discographe qui a publié le premier disque d'Elvis?,fr
Bij welk platenlabel verscheen het eerste album van Elvis Presley?,nl
Ce casă discografică a înregistrat primul album al lui Elvis?,ro
Do Prince Harry and Prince William have the same mother?,en
Haben Prinz Harry und Prinz William dieselbe Mutter?,de
¿Tienen el príncipe Harry y el prínciple William la misma madre?,es
Il principe Harry e il principe William hanno la stessa madre?,it
Ont les princes Harry et William la même mère?,fr
Hebben prins Harry en prins William dezelfde moeder?,nl
Prințul Harry și Prințul William au aceași mamă?,ro
Which budget did the first movie of Zdenek Sverak have?,en
Welches Budget hatte der erste Film von Zdenek Sverak?,de
¿Cuál fué el presupuesto de la primera película de Zdenek Sverak?,es
Che budget ebbe il primo film di Zdenek Sverak?,it
Quel était le budget du premier film de Zdenek Sverak?,fr
Welk budget had de eerste film van Zdenek Sverak,nl
Ce buget a avut primul film al lui Zdenek Sverak?,ro
In which military conflicts did Lawrence of Arabia participate?,en
An welchen militärischen Auseinandersetzungen war Lawrence von Arabien beteiligt?,de
¿En qué conflictos militares participó Lawrence de Arabia?,es
A quali conflitti militari ha partecipato Lawrence d'Arabia?,it
Dans quels conflits militaires a participé Lawrence d'Arabie?,fr
Bij welke militaire conflicten was Lawrence of Arabia betrokken?,nl
În care conflicte militare a participat Lawrence al Arabiei?,ro
Who invented the zipper?,en
Wer hat den Reisverschluss erfunden?,de
¿Quién inventó la cremallera?,es
Chi ha inventato la cerniera lampo?,it
Qui a inventé la fermeture éclair?,fr
Wie heeft de ritssluiting uitgevonden?,nl
Cine a inventat fermoarul?,ro
Give me the capitals of all countries in Africa.,en
Gib mir die Haupstädte von allen Ländern in Afrika.,de
Dame las capitales de todos los países africanos.,es
Dammi le capitali di tutti gli stati dell'Africa.,it
Donnes-moi la capitale de chaque pays d'Afrique.,fr
Noem de hoofdsteden van alle landen in Afrika.,nl
Dă-mi capitalele tuturor țărilor din Africa.,ro
Which states border Illinois?,en
Welche Staaten grenzen an Illinois?,de
¿Qué estados tienen frontera con Illinois?,es
Con quali stati confina l'Illinois?,it
Quels sont les états voisins de l'Illinois?,fr
Welke staten grenzen aan Illinois?,nl
Ce state formează granite cu Illinois?,ro
Which U.S. states are in the same time zone as Utah?,en
Welche US-Bundesstaaten liegen in derselben Zeitzone wie Utah?,de
¿Qué estados americanos se encuentran en la misma zona que Utah?,es
Quali stati degli Stati Uniti d'America si trovano nello stesso fuso orario dello Utah?,it
Quels états américains sont dans le même fuseau horaire que l'Utah?,fr
Welke staten van de Verenigde Staten liggen in dezelfde tijdzone als Utah?,nl
Care state americane sunt pe același fus orar ca Utah?,ro
Give me all islands that belong to Japan.,en
"Gib mir alle Inseln, die zu Japan gehören.",de
Dame todas la islas que pertenezcan a Japón.,es
Dammi tutte le isole che appartengono al Giappone.,it
Donnes-moi toutes les îles qui appartiennent aux Japon.,fr
Geef alle eilanden die behoren tot Japan.,nl
Dă-mi toate insulele care aparțin Japoniei.,ro
Who designed the Brooklyn Bridge?,en
Wer hat die Brooklyn Bridge entworfen?,de
¿Quién diseñó la Brooklyn Bridge?,es
Chi ha progettato il ponte di Brooklyn?,it
Qui a conçu le pont de Brooklyn?,fr
Wie ontwierp de Brooklyn Bridge?,nl
Cine a proiectat podul din Brooklyn?,ro
Who was the first president of the United States?,en
Wer war der erste Präsident der Vereinigten Staaten?,de
¿Quién era el primer presidente de los Estados Unidos?,es
Chi è stato il primo presidente degli Stati Uniti?,it
Qui était le premier président des États-Unis?,fr
Wie was de eerste president van de Verenigde Staten?,nl
Cine a fost primul președinte ale Statelor Unite?,ro
What is the highest mountain in Australia?,en
Was ist der höchste Berg in Australien?,de
¿Cuál es la montaña más alta de Australia?,es
Qual è la montagna più alta d'Australia?,it
Quelle est la plus haute montagne d'Australie?,fr
Wat is de hoogste berg van Australië?,nl
Care este cel mai înalt munte din Australia?,ro
"Which airports are located in California, USA?",en
Welche Flughäfen gibt es in Kalifornien?,de
¿Cuántos aeropuertos hay en California?,es
"Quali aeroporti si trovano in California, Stati Uniti?",it
Quels aéroports se trouvent en Californie?,fr
Welke vliegvelden liggen in Californië?,nl
"Ce aeroporturi se află în California, Statele Unite?",ro
Who developed Minecraft?,en
Wer hat Minecraft entwickelt?,de
¿Quién desarrolló Minecraft?,es
Chi ha sviluppato Minecraft?,it
Qui a dévelopé Minecraft?,fr
Wie ontwikkelde Minecraft?,nl
Cine a dezvoltat Minecraft?,ro
Which Chess players died in the same place they were born in?,en
"Welche Schachspieler starben an den gleichen Orten, an denen sie geboren wurden?",de
¿Qué jugadores de ajedrez murieron en sus lugares de nacimiento?,es
Quali giocatori di scacchi morirono nel loro luogo di nascita?,it
Quels joueurs d'échecs moururent dans leur ville de naissance?,fr
Welke schakers stierven in hun geboorteplaats?,nl
Care jucători de șah au murit în același loc în care s-au născut?,ro
How many space missions have there been?,en
Wieviele Weltraummissionen gab es?,de
¿Cuántas misiones espaciales ha habido?,es
Quante missioni spaziali ci sono state?,it
Combien y a-t-il eu de vols spatials?,fr
Hoeveel ruimtereizen zijn er geweest?,nl
Câte misiuni spațiale au avut loc?,ro
Which capitals in Europe were host cities of the summer olympic games?,en
In welchen europäischen Hauptstädten fanden olympische Sommerspiele statt?,de
¿En qué capitales europeas tuvieron lugar los juegos olímpicos de verano?,es
Quali capitali europee hanno ospitato i giochi olimpici estivi?,it
Quelles capitales européenes ont été hôtes de jeux olympiques d'été?,fr
In welke Europese hoofdsteden waren de Olympische Zomerspelen?,nl
Ce capitale europene au fost gazde ale Jocurile Olimpice de vară?,ro
Give me all cars that are produced in Germany.,en
"Gib mir alle Autos, die in Deutschland hergestellt werden.",de
Dame todos los coches producidos en Alemania.,es
Dammi tutte le automobili che sono prodotte in Germania.,it
Donne-moi toutes les voitures qui sont produites en Allemagne.,fr
Geef alle auto's die in Duitsland gemaakt worden.,nl
Dă-mi toate mașinile care sunt produse în Germania.,ro
Who was the wife of U.S. president Lincoln?,en
Wer war die Frau von US-Präsident Lincoln?,de
¿Quién fué la mujer del presidente americano Lincoln?,es
Chi era la moglie del presidente degli Stati Uniti Lincoln?,it
Qui était l'épouse du président américain Lincoln?,fr
Wie was de vrouw van de Amerikaanse president Lincoln?,nl
Cine a fost soția președintelui American Lincoln?,ro
How many children did Benjamin Franklin have?,en
Wieviele Kinder hatte Benjamin Franklin?,de
¿Cuántos hijos tuvo Benjamin Franklin?,es
Quanti figli ebbe Benjamin Franklin?,it
Combien d'enfants Benjamin Franklin avait-il?,fr
Hoeveel kinderen had Benjamin Franklin?,nl
Câți copii a avut Benjamin Franklin?,ro
Is Michelle Obama the wife of Barack Obama?,en
Ist Michelle Obama die Frau von Barack Obama?,de
¿Es Michele Obama la esposa de Barack Obama?,es
Michelle Obama è la moglie di Barack Obama?,it
Michelle Obama est-elle l'épouse de Barack Obama?,fr
Is Michelle Obama de vrouw van Barack Obama?,nl
Este Michelle Obama soția lui Barack Obama?,ro
Give me all actors starring in movies directed by William Shatner.,en
"Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie geführt hat.",de
Dame todos los actores de películas dirigidas por William Shatner.,es
Dammi tutti gli attori che recitano in film diretti da William Shatner.,it
Donnes-moi tous les acteurs qui ont joué dans des films réalisés par Williams Shatner.,fr
Geef alle acteurs van films waar William Shatner de regie van voerde.,nl
Dă-mi toți actorii care joacă roluri principale în filme regizate de William Shatner.,ro
List the children of Margaret Thatcher.,en
Liste die Kinder von Margaret Thatcher auf.,de
Dame una lista de los hijos de Margaret Thatcher.,es
Elenca i figli di Margaret Thatcher.,it
Donnes-moi tous les enfants de Margaret Thatcher.,fr
Noem alle kinderen van Margaret Thatcher.,nl
Enumeră copiii lui Margaret Thatcher.,ro
Which professional surfers were born in Australia?,en
Welche Profisurfer wurden in Australien geboren?,de
¿Qué surfistas profesionales nacieron en Australia?,es
Quali surfisti professionisti sono nati in Australia?,it
Quels surfeurs professionels sont nés en Australie?,fr
Welke professionele surfers werden geboren in Australië?,nl
Ce surferi profesioniști s-au născut în Australia?,ro
Who is the editor of Forbes?,en
Wer ist der Herausgeber von Forbes?,de
¿Quién es el editor de Forbes?,es
Chi è l'editore di Forbes?,it
Qui est le rédacteur en chef de Forbes?,fr
Wie is de uitgever van Forbes.,nl
Cine este editorul Forbes?,ro
Give me all actors starring in Last Action Hero.,en
"Gib mir alle Schauspieler, die in Last Action Hero mitgespielt haben.",de
Dame todos los actores que hayan actuado en Last Action Hero.,es
Dammi tutti gli attori che hanno recitato in Last Action Hero.,it
Noem alle acteurs uit de film Last Action Hero.,fr
Noem alle acteurs uit de film Last Action Hero.,nl
Dă-mi toți actorii cu roluri principale în Last Action Hero.,ro
In which programming language is GIMP written?,en
In welcher Programmiersprache wurde GIMP geschrieben?,de
¿En qué lenguaje de programación esta programado GIMP?,es
