questions,lang
Welke boeken van Jack Kerouac werden uitgegeven door Viking Press?,nl
वाइकिंग प्रेस द्वारा कैरौक की कौन सी किताबें प्रकाशित की गई थीं?,hi_IN
Ce cărți de Kerouac a fost publicate de Viking Press?,ro
How tall is Amazon Eve?,en
قد آمازون ایو چقدر است؟,fa
Wie groß ist Amazon Eve?,de
¿Cómo de alta es Amazon Eve?,es
Quanto è alta Amazon Eve?,it
Quelle est la taille de Amazon Eve?,fr
Hoe lang is Amazon Eve?,nl
अमेज़ॅन ईव कितनी लंबी है?,hi_IN
Ce înălțime are Amazon Eve?,ro
Which museum exhibits The Scream by Munch?,en
In welchem Museum ist Der Schrei von Munch ausgestellt?,de
¿En qué museo está expuesto el Grito de Munch?,es
In quale museo è esposto l'Urlo di Munch?,it
Dans quel musée est exposé Le Cri de Munch?,fr
In welk museum hangt De Schreeuw van Munch?,nl
कौन सा संग्रहालय मंच द्वारा द स्क्रीम प्रदर्शित करता है?,hi_IN
În ce muzeu este expus “Strigătul” lui Munch?,ro
Who wrote the book Les Piliers de la terre?,en
Wer schrieb das Buch Die Säulen der Erde?,de
¿Quen escribió el libro Los pilares de la Tierra?,es
Chi ha scritto il libro I pilastri della Terra?,it
Qui a écrit le livre Les Piliers de la terre?,fr
Wie schreef het boek De Pilaren van de Aarde?,nl
लेस पिलीरेस डी ला टेरे किताब को किसने लिखा है?,hi_IN
Is James Bond married?,en
Ist James Bond verheiratet?,de
¿Está James Bond casado?,es
James è Bond sposato?,it
James Bond est-il marié?,fr
Is James Bond getrouwd?,nl
क्या जेम्स बांड ने शादी की है?,hi_IN
James Bond este căsătorit?,ro
Who discovered Ceres?,en
سرس را چه کسی کشف کرد؟,fa
Wer entdeckte Ceres?,de
¿Quién descubrió Ceres?,es
Chi ha scoperto Cerere?,it
Qui a découvert Cérès?,fr
Wie ontdekte Ceres?,nl
सेरेस की खोज किसने की?,hi_IN
Cine l-a descoperit pe Ceres?,ro
Which river does the Brooklyn Bridge cross?,en
Welchen Fluss überspannt die Brooklyn Bridge?,de
¿Por qué río cruza la Brooklyn Bridge?,es
Quale fiume attraversa il ponte di Brooklyn?,it
Quelle cours d'eau est traversé par le pont de Brooklyn?,fr
Welke rivier overspant de Brooklyn Bridge?,nl
ब्रुकलिन ब्रिज को कोनसी नदी पार करती है?,hi_IN
What is the largest country in the world?,en
بزرگترین کشور در دنیا کدام است؟,fa
Was ist das größte Land der Welt?,de
¿Cuál es el país más grande del mundo?,es
Qual è la nazione più grande al mondo?,it
Quel est le pays le plus grand du monde?,fr
Wat is het grootse land ter wereld?,nl
दुनिया का सबसे बड़ा देश क्या है?,hi_IN
Care este cea mai mare țară din lume?,ro
Who is the mayor of Paris?,en
شهردار پاریس کیست؟,fa
Wer ist Bürgermeister von Paris?,de
¿Quién es el alcalde de París?,es
Chi è il sindaco di Parigi?,it
Qui est le maire de Paris?,fr
Wie is de burgemeester van Parijs?,nl
पेरिस का महापौर कौन है?,hi_IN
Cine este primarul Parisului?,ro
Who is the coach of Ankara's ice hockey team?,en
سرمربی تیم هاکی آنکارا کیست؟,fa
Wer ist der Trainer von Ankaras Eishockeymannschaft?,de
¿Quién es el entrenador del equipo de hockey sobre hielo de Ankara?,es
Chi è l'allenatore della squadra di hockey di Ankara?,it
Qui est le coach de l'équipe d'hockey sur glace d'Ankara?,fr
Wie is de coach van het ijshockey team van Ankara.,nl
अंकारा के आइस हॉकी टीम का कोच कौन है?,hi_IN
Cine este antrenorul echipei de hochei pe gheață din Ankara?,ro
Who is the mayor of the capital of French Polynesia?,en
Wer ist der Bürgermeister der Hauptstadt von Französisch-Polynesien?,de
¿Quien es el alcalde de la capital de la Polinesia Francesa?,es
Chi è il sindaco della capitale della Polinesia Francese?,it
Qui est le maire de la capitale de la Polynésie Francaise?,fr
Wie is de burgermeester van de hoofdstad van Frans-Polynesië?,nl
फ्रेंच पोलिनेशिया की राजधानी का महापौर कौन है?,hi_IN
Cine este primarul capitaliei Polineziei Franceze?,ro
Which awards did Douglas Hofstadter win?,en
Welche Preise hat Douglas Hofstadter gewonnen?,de
¿Qué premios ha ganado Douglas Hofstadter?,es
Quali premi ha vinto Douglas Hofstadter?,it
Quels prix ont été gagnés par Douglas Hofstadter?,fr
Welke prijzen heeft Douglas Hofstadter gewonnen?,nl
डगलस हॉफस्टैडर ने किन पुरस्कारों को जीता है?,hi_IN
Ce premii a câștigat Douglas Hofstadter?,ro
How much did the Lego Movie cost?,en
فیلم لگو چقدر هزینه داشت؟,fa
Wieviel hat der Legofilm gekostet?,de
¿Cuánto cuesta la película de Lego?,es
Quanto è costato il Lego Movie?,it
Combien a coûté le film de Légo,fr
Hoveel heeft de Lego Movie gekost?,nl
लेगो मूवी की लागत कितनी थी?,hi_IN
Cât de mult a costat filmul Lego?,ro
Do Prince Harry and Prince William have the same parents?,en
Haben Prinz Harry und Prinz William dieselben Eltern?,de
¿Tienen el príncipe Harry y el prínciple William la misma madre?,es
Il principe Harry e il principe William hanno gli stessi genitoris?,it
Ont les princes Harry et William la même mère?,fr
Hebben prins Harry en prins William dezelfde ouders?,nl
क्या प्रिंस हैरी और प्रिंस विलियम के माता-पिता एक हैं?,hi_IN
Prințul Harry și Prințul William au aceiași părinți?,ro
How many languages are spoken in Turkmenistan?,en
چند زبان در ترکمنستان صحبت می شود؟],fa
Wieviele Sprachen werden in Turkmenistan gesprochen?,de
¿Cuántos idiomas se hablan en Turkmenistán?,es
Quante lingue sono parlate in Turkmenistan?,it
Combien de langues sont parlées au Turkménistan?,fr
Hoeveel talen worden er gesproken in Turkmenistan?,nl
तुर्कमेनिस्तान में कितनी भाषाएं बोली जाती हैं?,hi_IN
Câte limbi sunt vorbite în Turkmenistan?,ro
In which films did Julia Roberts as well as Richard Gere play?,en
در چه فیلم هایی جولیا رابرتس همچنین ریچارد گییر بازی کردند؟,fa
In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?,de
¿En qué películas actúan Julia Roberts y Richard Gere?,es
In quali film recitano sia Julia Roberts che Richard Gere?,it
Dans quels films jouent Julia Roberts et Richard Gere?,fr
In welke films speelden zowel Julia Roberts als Richard Gere?,nl
जूलिया रॉबर्ट्स और रिचर्ड गेरे ने किस फिल्म में अभिनय किया था?,hi_IN
În ce filme joacă Julia Roberts precum și Richard Gere?,ro
In which country does the Ganges start?,en
In welchem Land entspringt der Ganges?,de
¿En qué país nace el Ganges?,es
In quale stato nasce il Gange?,it
Dans quel pays commence le Gange?,fr
In welk land ontspringt de Ganges?,nl
गंगा किस देश में शुरू होती है?,hi_IN
Din ce țară izvorăște Ganga?,ro
In which year was Rachel Stevens born?,en
ریچل استیونز در چه سالی متولد شد؟,fa
In welchem Jahr wurde Rachel Stevens geboren?,de
¿En que año nació Rachel Stevens?,es
In quale anno è nata Rachel Stevens?,it
Quand est née Rachel Stevens?,fr
In welk jaar word Rachel Stevens geboren?,nl
रेचल स्टीवंस का जन्म किस साल हुआ था?,hi_IN
În ce an s-a născut Rachel Stevens?,ro
Is Barack Obama a democrat?,en
Ist Barack Obama ein Demokrat?,de
¿Es Barack Obama demócrata?,es
Barack Obama è un democratico?,it
Barack Obama est-il un démocrate?,fr
Is Barack Obama een democraat?,nl
क्या बराक ओबामा एक डेमोक्रेट है?,hi_IN
Barack Obama este un democrat?,ro
Where was Bach born?,en
Wo wurde Bach geboren?,de
¿Dónde nació Bach?,es
Dove è nato Bach?,it
Où est né Bach?,fr
Waar was Bach geboren?,nl
बाख का जन्म कहाँ हुवा था?,hi_IN
Unde s-a născut Bach?,ro
How often did Jane Fonda marry?,en
جین فوندا چند بار ازدواج کرد؟,fa
Wie oft hat Jane Fonda geheiratet?,de
¿Cuántas veces ha estado casada Jane Fonda?,es
Quante volte si è sposata Jane Fonda?,it
Combien de fois s'est mariée Jane Fonda?,fr
Hoe vaak is Jane Fonda getrouwd?,nl
जेन फोंडा ने कितनी बार शादी की?,hi_IN
Cât de des s-a măritat Jane Fonda?,ro
Who was the first to climb Mount Everest?,en
Wer hat als erstes den Mount Everest bestiegen?,de
¿Quién fue el primero en ascender al Monte Everest?,es
Chi è stato il primo a scalare il Monte Everest?,it
Qui est la première personne à conquerir le Mont Everest?,fr
Wie was de eerste die de Mount Everest beklom?,nl
माउंट एवरेस्ट पर चढ़ने वाला पहला कौन था?,hi_IN
Cine a fost primul om care a escaladat muntele Everest?,ro
How many people live in Poland?,en
چند نفر در لهستان زندگی می کنند؟,fa
Wieviele Menschen leben in Polen?,de
¿Cuántas personas viven en Polonia?,es
Quante persone vivono in Polonia?,it
Combien de personnes vivent en Pologne?,fr
Hoeveel mensen wonen er in Polen?,nl
पोलैंड में कितने लोग रहते हैं?,hi_IN
Câți oameni locuiesc în Polonia?,ro
What is the location of the Houses of Parliament?,en
مکان کاخ وستمینستر کجاست؟,fa
Wo ist der Westminster-Palast?,de
¿Donde están situadas las Casas del Parlamento?,es
Dove si trova il Palazzo di Westminster?,it
Où se trouve le palais de Westminster?,fr
Waar is de Palace of Westminster?,nl
संसद के सदनों का स्थान क्या है?,hi_IN
Care este locația Palatului Westminster?,ro
In which country is the Limerick Lake?,en
In welchem Land befindet sich der Limerick Lake?,de
¿En qué país se encuentra el lago Limerick?,es
In quale stato si trova il lago Limerick?,it
Dans quel pays se trouve le lac Limerick?,fr
In welk land ligt Limerick Lake?,nl
लिमरिक झील किस देश में है?,hi_IN
What was the last movie with Alec Guinness?,en
آخرین فیلم الک گینس چه بود؟,fa
Was war der letzte Film mit Alec Guinness?,de
¿Cuál fue la última película con Alec Guinness?,es
Qual è l'ultimo film con Alec Guinness?,it
Quel est le dernier film d'Alec Guinness?,fr
Wat was de laatste film met Alec Guinness?,nl
एलेक गिनीज की आखिरी फिल्म क्या थी?,hi_IN
Care a fost ultimul film cu Alec Guinness?,ro
What is the highest mountain in Australia?,en
Was ist der höchste Berg in Australien?,de
¿Cuál es la montaña más alta de Australia?,es
Qual è la montagna più alta d'Australia?,it
Quelle est la plus haute montagne d'Australie?,fr
Wat is de hoogste berg van Australië?,nl
ऑस्ट्रेलिया में सर्वोच्च पर्वत कोनसा है?,hi_IN
Is Frank Herbert still alive?,en
Lebt Frank Herbert noch?,de
¿Todavía vive Frank Herbert?,es
Frank Herbert è ancora vivo?,it
Frank Herbert est-il encore en vie?,fr
Leeft Frank Herbert nog?,nl
क्या फ्रैंक हरबर्ट अभी भी जीवित है?,hi_IN
Who created Family Guy?,en
چه کسی مرد خانواده را ساخته است؟,fa
Wer hat sich Family Guy ausgedacht?,de
¿Quién creó Family Guy?,es
Chi ha creato I Griffin?,it
Qui est le créateur de Family Guy?,fr
Wie heeft Family Guy bedacht?,nl
फॅमिली गाए कौन ने बनाया है?,hi_IN
Cine a creat Family Guy?,ro
What is the official language of Suriname?,en
Was ist die Amtssprache Von Surinam?,de
¿Cuál es la idioma oficial de Surinam?,es
Qual è la lingua ufficiale del Suriname?,it
Quelle est la langue officielle du Suriname?,fr
Wat is de officiële taal van Suriname?,nl
सूरीनाम की आधिकारिक भाषा क्या है?,hi_IN
Care este limba oficială din Suriname?,ro
Who wrote the song Hotel California?,en
چه کسی آهنگ هتل کالیفرنیا را نوشت؟,fa
Wer hat das Lied Hotel California geschrieben?,de
¿Quién escribió la canción Hotel California?,es
Chi ha scritto la canzone Hotel California?,it
Qui a composé la chanson Hotel California?,fr
Wie schreef het lied Hotel California?,nl
गीत होटल कैलिफोर्निया कोंन ने लिखा था?,hi_IN
Cine a compus cântecul Hotel California?,ro
Give me all actors starring in movies directed by William Shatner.,en
تمام بازیگرانی که در فیلم های کارگردانی شده توسط ویلیام شاتنر بازی کرده اند را لیست کن.,fa
"Gib mir alle Schauspieler von Filmen, in denen William Shatner Regie geführt hat.",de
Dame todos los actores de películas dirigidas por William Shatner.,es
Dammi tutti gli attori che recitano in film diretti da William Shatner.,it
Donnes-moi tous les acteurs qui ont joué dans des films réalisés par Williams Shatner.,fr
Geef alle acteurs van films waar William Shatner de regie van voerde.,nl
विलियम शेटनेर द्वारा निर्देशित फिल्मों में सभी कलाकारों की सूचि दे।,hi_IN
Dă-mi toți actorii care joacă roluri principale în filme regizate de William Shatner.,ro
What is in a chocolate chip cookie?,en
چه چیزهایی در یک کیک شکلاتی هست؟,fa
Was ist in Chocolate Chip Cookies drin?,de
¿Qué contiene una galleta de chocolate?,es
Cosa c'e' in un biscotto con gocce di cioccolato?,it
Quels sont les ingrédients d'un cookie au chocolat,fr
Wat heb je nodig voor chocolate chip cookies?,nl
चॉकलेट चिप कुकी में क्या है?,hi_IN
Ce conține un biscuit cu fulgi de ciocolată?,ro
Which ingredients do I need for carrot cake?,en
چه مواد اولیه ای را من برای کیک هویج نیاز دارم؟,fa
Welche Zutaten brauche ich für Möhrenkuchen?,de
¿Qué ingredientes son necesarios para una tarta de zanahorias?,es
Di quali ingredienti ho bisogno per la torta di carote?,it
Quels sont les ingrédients du gateau aux carottes?,fr
Welke ingrediënten heb ik nodig voor worteltaart?,nl
गाजर केक के लिए मुझे कौन से सामग्री की आवश्यकता है?,hi_IN
De ce ingrediente am nevoie pentru tort de morcovi?,ro
Does Neymar play for Real Madrid?,en
آیا نیمار برای رئال مادرید بازی می کند؟,fa
Spielt Neymar für Real Madrid?,de
¿juega Neymar en el Real Madrid?,es
Neymar gioca per il Real Madrid?,it
Est-ce que Neymar joue pour Madrid?,fr
Speelt Neymar bij Real Madrid?,nl
क्या नेयमार रियल मैड्रिड के लिए खेलते हैं?,hi_IN
Neymar joacă pentru Real Madrid?,ro
In which UK city are the headquarters of the MI6?,en
In welcher Stadt im Vereinigten Königreich ist das Hauptquartier des MI6?,de
¿En qué ciudad del reino unido se encuentra el cuartel genetal del MI6?,es
In quale città del Regno Unito si trova il quartier generale del MI6?,it
Dans quelle ville anglaise se trouvent les quartiers genéraux du MI6?,fr
In welke Britse stad is het hoofdkwartier van MI6 gevestigd?,nl
किस यूके शहर में एमआई-6 का मुख्यालय है?,hi_IN
În care oraș din Regatul Unit se află cartierul general al MI6?,ro
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,en
War die Kubakrise vor der Schweinebuchtinvasion?,de
¿Fué la crisis de cuba antes de la invasión de bahía de cochinos?,es
La crisi dei missili di Cuba avvenne prima dello sbarco nella Baia dei Porci?,it
La crise des missiles de Cuba a-t-elle eu lieu avant the débarquement de la baie des Cochons?,fr
Was de Cubacrisis eerder dan de invasie in de Varkensbaai?,nl
क्या क्यूबाई मिसाइल संकट बे ऑफ़ पिग्स आक्रमण के पहले हुआ था?,hi_IN
What does IYCM stand for?,en
Wofür steht IYCM?,de
¿Qué abrevia IYCM?,es
Che cosa significa IYCM?,it
Que veut dire IYCM?,fr
Waarvoor staat de afkorting IYCM?,nl
आईसीवायएम् का पूर्ण प्रपत्र क्या है?,hi_IN
Ce înseamnă IYCM?,ro
When did the Ming dynasty dissolve?,en
Wann endete die Ming-Dynastie?,de
¿Cuándo se disolvió la dinastía de Ming?,es
Quando è scomparsa la dinastia Ming?,it
Quand la dynastie Ming s'est-elle dissoute?,fr
Wanneer werd de Ming-dynastie beëindigd?,nl
मिंग राजवंश को कब भंग किया?,hi_IN
Când a dispărut dinastia Ming?,ro
"What is the total population of Melbourne, Florida?",en
"Was ist die Gesamteinwohnerzahl von Melbourne, Florida?",de
"¿Cuál es la población total de Melbourne, Florida?",es
"Qual è la popolazione totale di Melbourne, Florida?",it
"Quelle est la population totale de Melbourne, Floride?",fr
"Wat is de bevolking van Melbourne, Florida?",nl
"मेलबोर्न, फ्लोरिडा की कुल आबादी क्या है?",hi_IN
"Care este populația totală a Melbourne, Florida?",ro
Did Arnold Schwarzenegger attend a university?,en
Hat Arnold Schwarzenegger eine Universität besucht?,de
¿Fue Arnold Schwarzenegger a la universidad?,es
Arnold Schwarzenegger ha frequentato l'Università?,it
Est-ce que Arnold Schwarzenegger a étudié à une université?,fr
Had Arnold Schwarzenegger aan een universiteit gestudeerd?,nl
क्या अर्नोल्ड श्वार्ज़नेगर विश्वविद्यालय गए थे?,hi_IN
Arnold Schwarzenegger a frecventat o universitate?,ro
What country is Mount Everest in?,en
In welchem Land ist der Mount Everest?,de
¿En que país esta el monte Everest?,es
In quale stato si trova il Monte Everest?,it
Dans quel pays se trouve le mont Everest?,fr
In welke land is de Mount Everest?,nl
कोनसे देश में माउंट एवरेस्ट है?,hi_IN
În ce țară se află muntele Everest?,ro
What is the largest city in Australia?,en
Was ist die größte Stadt in Australien?,de
¿Cuál es la cuidad más grande de Australia?,es
Qual è la città più grande d'Australia?,it
Quelle est la plus grande ville d'Australie?,fr
Wat is de grootste stad van Australië?,nl
ऑस्ट्रेलिया में सबसे बड़ा शहर क्या है?,hi_IN
Give me all launch pads operated by NASA.,en
Gib mir alle von der NASA betriebenen Startrampen.,de
Dame todas las plataformas de lanzamiento operadas por la NASA.,es
Dammi tutte le rampe di lancio gestite dalla NASA.,it
Donnes-moi toutes les rampes de lancements des Etats-unis.,fr
Noem alle lanceerplatformen van de NASA.,nl
मुझे नासा द्वारा संचालित सभी लॉन्च पैड की सूचि दें।,hi_IN
Dă-mi toate rampele de lansare operate de către NASA.,ro
Who is the mayor of Tel Aviv?,en
Wer ist der Bürgermeister von Tel Aviv?,de
¿Quién es el alcalde de Tel Aviv?,es
Chi è il sindaco di Tel Aviv?,it
Qui est le maire de Tel Aviv?,fr
Wie is de burgemeester van Tel Aviv?,nl
तेल अवीव के महापौर कौन हैं?,hi_IN
Cien este primarul din Tel Aviv?,ro
List all episodes of the first season of the HBO television series The Sopranos.,en
Liste alle Episoden der ersten Staffel der HBO-Fernsehserie Die Sopranos auf.,de
Dame todos los episodios de la prímera época de la serie de HBO Los Sporanos.,es
Elenca tutti gli episodi della prima stagione della serie televisiva di HBO i Sopranos.,it
Donnes-moi tous les épisodes de la première saison de la série télévisée de HBO les Sopranos.,fr
Noem alle afleveringen van het eerste seizoen van de HBO-serie The Sopranos.,nl
एचओओ टेलीविजन श्रृंखला द सोप्रानोस के पहले सीज़न के सभी एपिसोड की सूची बनाएं। ',hi_IN
Listează toate episodele din primul sezon al serialului HBO de televiziune The Sopranos,ro
Who created Batman?,en
چه کسی بتمن را ساخت؟,fa
Wer hat Batman erfunden?,de
¿Quién creó Batman?,es
Chi ha creato Batman?,it
Qui a créé la bande dessinée Captain America?,fr
Door wie werd Batman bedacht?,nl
किसने बैटमैन बनाया?,hi_IN
Cine a creat Batman?,ro
Who played Gus Fring in Breaking Bad?,en
چه کسی گوستاوو فرینگ را در بریکینگ بد بازی کرد؟,fa
Wer hat Gus Fring in Breaking Bad gespielt?,de
¿Quién interpreto a Gus Fring en Breaking Bad?,es
Chi ha interpretato Gustavo Fring in Breaking Bad - Reazioni collaterali?,it
Qui joua Gus Fring dans Breaking Bad?,fr
Wie speelt Gus Fring in Breaking Bad?,nl
किसने गस फ्रिंग को ब्रेकिंग बैड में निभाया है ?,hi_IN
Cine l-a jucat pe Gus Fring în Breaking Bad?,ro
In which programming language is GIMP written?,en
In welcher Programmiersprache wurde GIMP geschrieben?,de
¿En qué lenguaje de programación esta programado GIMP?,es
In quale linguaggio di programmazione è scritto GIMP?,it
En quel langage de programmation a été écrit GIMP?,fr
In welke programmeertaal is GIMP geschreven?,nl
जीआईएमपी किस प्रोग्रामिंग भाषा में लिखी गई है?,hi_IN
In which ancient empire could you pay with cocoa beans?,en
در کدام امپراتوری باستانی می توان با دانه های کاکائو داد و ستد کرد؟,fa
In welchem alten Reich konnte man mit Kakaobohnen bezahlen?,de
En que imperio antiguo pagaría con granos de cacao?,es
In quale antico impero era possibile pagare con le fave di cacao?,it
Dans quel empire ancien payait-on avec des fèves de cacao?,fr
In welke oude imperium kon je met cacaobonen betalen?,nl
किस प्राचीन साम्राज्य में आप कोको बीन से भुगतान कर सकते हैं?,hi_IN
În ce imperiu antic puteai plăti cu boabe de cacao?,ro
Who is the editor of Forbes?,en
Wer ist der Herausgeber von Forbes?,de
¿Quién es el editor de Forbes?,es
Chi è l'editore di Forbes?,it
Qui est le rédacteur en chef de Forbes?,fr
Wie is de uitgever van Forbes.,nl
फोर्ब्स के संपादक कौन है?,hi_IN
Cine este editorul Forbes?,ro
How many people live in the capital of Australia?,en
Wieviele Menschen leben in der Hauptstadt Australiens?,de
¿Cuánta gente vive en la capital de Australia?,es
Quante persone vivono nella capitale dell'Australia?,it
Quel est le nombre d'habitants de la capitale de l'Australie?,fr
Hoeveel mensen wonen er in de hoofdstad van Australië?,nl
कितने लोग ऑस्ट्रेलिया की राजधानी में रहते हैं?,hi_IN
Câți oameni locuiesc in capitala Australiei?,ro
Which electronics companies were founded in Beijing?,en
چه شرکت های الکترونیکی در پکن تأسیس شدند؟,fa
Welche Elektronikunternehmen wurden in Peking gegründet?,de
¿Qué compañías de electrónica fueron fundadas en Pekín?,es
Quali società di elettronica sono state fondate a Pechino?,it
Quelles sont les companies d'électronique fondées à Beijing?,fr
Welke elektronica bedrijven zijn opgericht in Peking?,nl
बीजिंग में कौन से इलेक्ट्रॉनिक्स कंपनियां स्थापित की गई थीं?,hi_IN
Care companii de electronice au fost fondate în Beijing?,ro
Give me all video games published by Mean Hamster Software.,en
Gib mir alle Videospiele von Mean Hamster Software.,de
Dame todos los videojuegos de Mean Hamster Software.,es
Dammi tutti i videogiochi di Mean Hamster Software.,it
Donnes-moi tous les jeux vidéos publiés par Mean Hamster Software.,fr
Geef me alle videogames van Mean Hamster Software.,nl
मीन हम्सटर सॉफ्टवेयर द्वारा प्रकाशित सभी वीडियो गेम की सूचि दें। ',hi_IN
Dă-mi toate jocurile video publicate de Mean Hamster Software,ro
How many Aldi stores are there?,en
چه تعداد فروشگاه آلدی وجود دارد؟,fa
Wieviele Aldi-Filialen gibt es?,de
¿Cuántas tiendas Aldi hay?,es
Quanti negozi Aldi ci sono?,it
Combien de magasins Aldi sont là?,fr
Hoeveel Aldi winkels zijn er?,nl
आलड़ी के कितने स्टोर हैं?,hi_IN
Câte magazine Aldi există?,ro
What is the capital of Cameroon?,en
پایتخت کامرون کجاست؟,fa
Was ist die Hauptstadt von Kamerun?,de
¿Cuál es la capital de Camerún?,es
Qual è la capitale del Cameroon,it
Quelle est la capitale du Cameroun?,fr
Wat is de hoofdstad van Kameroen?,nl
कैमरून की राजधानी क्या है?,hi_IN
Care este capitala Camerunului?,ro
Is there a video game called Battle Chess?,en
"Gibt es ein Videospiel, das Battle Chess heißt?",de
¿Hay algún videojuego que se llame Battle Chess?,es
Esiste un videogioco che si chiama Battle Chess?,it
Existe-t-il un jeu vidéo appelé Battle Chess?,fr
